"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_97695_coefficient","contrast_97695_log2fc","contrast_97695_tstat","contrast_97695_pvalue"
"56","1435454_a_at","229003","Helz2","helicase with zinc finger 2, transcriptional coactivator",3.395e-09,2.068e-06,0.0016,1.2711,1.2711,13.158,9.634e-09
"57","1418826_at","69774","Ms4a6b","membrane-spanning 4-domains, subfamily A, member 6B",3.626e-09,2.095e-06,0.0017,2.5308,2.5308,13.7346,5.793e-09
"58","1419599_s_at","68774","Ms4a6d","membrane-spanning 4-domains, subfamily A, member 6D",3.53e-09,2.095e-06,0.0017,2.1816,2.1816,14.5602,2.888e-09
"59","1457035_at","226691","Ifi207","interferon activated gene 207",3.612e-09,2.095e-06,0.0017,1.5801,1.5801,16.9589,4.595e-10
"60","1450034_at","20846","Stat1","signal transducer and activator of transcription 1",4.557e-09,2.599e-06,0.0018,1.767,1.767,12.0576,2.69e-08
"61","1427381_at","16365","Acod1","aconitate decarboxylase 1",4.77e-09,2.687e-06,0.0018,1.2666,1.2666,14.6132,2.765e-09
"62","1451905_a_at","17857","Mx1","MX dynamin-like GTPase 1",5.287e-09,2.906e-06,0.0018,2.4427,2.4427,14.7169,2.54e-09
"63","1449927_at","20199","S100a5","S100 calcium binding protein A5",5.708e-09,3.041e-06,0.0019,-1.3113,-1.3113,-8.5919,1.251e-06
"64","1435665_at","209387","Trim30d","tripartite motif-containing 30D",6.54e-09,3.387e-06,0.0019,2.3554,2.3554,12.1615,2.433e-08
"65","1419282_at","20293","Ccl12","C-C motif chemokine ligand 12",7.251e-09,3.713e-06,0.002,3.3631,3.3631,11.3795,5.276e-08
"66","1416897_at","80285","Parp9","poly (ADP-ribose) polymerase family, member 9",7.671e-09,3.838e-06,0.002,1.4504,1.4504,11.8191,3.397e-08
"67","1417292_at","15953","Ifi47","interferon gamma inducible protein 47",7.75e-09,3.838e-06,0.002,2.6007,2.6007,11.5566,4.411e-08
"68","1426276_at","71586","Ifih1","interferon induced with helicase C domain 1",7.836e-09,3.838e-06,0.002,1.6378,1.6378,13.3803,7.901e-09
"69","1417141_at","16145","Igtp","interferon gamma induced GTPase",8.707e-09,4.219e-06,0.0021,2.546,2.546,11.3512,5.43e-08
"70","1445897_s_at","70110","Ifi35","interferon-induced protein 35",9.575e-09,4.59e-06,0.0021,1.7772,1.7772,12.1859,2.377e-08
"71","1447927_at","100702","Gbp6","guanylate binding protein 6",9.71e-09,4.606e-06,0.0021,2.9337,2.9337,10.2668,1.719e-07
"72","1439825_at","209200","Dtx3l","deltex 3-like, E3 ubiquitin ligase",1.011e-08,4.747e-06,0.0021,1.3321,1.3321,12.435,1.875e-08
"73","1420671_x_at","64380","Ms4a4c","membrane-spanning 4-domains, subfamily A, member 4C",1.083e-08,4.982e-06,0.0022,1.8914,1.8914,14.3928,3.316e-09
"74","1427076_at","17476","Mpeg1","macrophage expressed gene 1",1.162e-08,5.287e-06,0.0022,0.9358,0.9358,9.981,2.367e-07
"75","1421322_a_at","16391","Irf9","interferon regulatory factor 9",1.273e-08,5.738e-06,0.0022,1.2611,1.2611,10.1631,1.929e-07
"76","1451941_a_at","14130","Fcgr2b","Fc receptor, IgG, low affinity IIb",1.356e-08,5.874e-06,0.0023,1.1924,1.1924,13.5221,6.972e-09
"77","1448775_at","15950","Ifi203","interferon activated gene 203",1.342e-08,5.874e-06,0.0023,1.7459,1.7459,14.7415,2.49e-09
"78","1424339_at","231655","Oasl1","2'-5' oligoadenylate synthetase-like 1",1.354e-08,5.874e-06,0.0023,1.3694,1.3694,14.0392,4.462e-09
"79","1416016_at","21354","Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",1.328e-08,5.874e-06,0.0022,1.6656,1.6656,12.7748,1.366e-08
"80","1432026_a_at","67138","Herc6","hect domain and RLD 6",1.397e-08,5.993e-06,0.0023,1.2797,1.2797,13.1997,9.28e-09
"81","1460603_at","209086","Samd9l","sterile alpha motif domain containing 9-like",1.421e-08,6.043e-06,0.0024,1.5715,1.5715,12.8032,1.33e-08
"82","1459151_x_at","70110","Ifi35","interferon-induced protein 35",1.465e-08,6.169e-06,0.0024,1.2019,1.2019,11.9216,3.071e-08
"83","1426774_at","243771","Parp12","poly (ADP-ribose) polymerase family, member 12",1.886e-08,7.868e-06,0.0024,1.2727,1.2727,12.1994,2.346e-08
"84","1448961_at","18828","Plscr2","phospholipid scramblase 2",1.964e-08,8.118e-06,0.0024,1.3948,1.3948,11.6832,3.886e-08
"85","1419598_at","68774","Ms4a6d","membrane-spanning 4-domains, subfamily A, member 6D",2.269e-08,9.211e-06,0.0025,2.085,2.085,13.9207,4.936e-09
"86","1452087_at","108670","Epsti1","epithelial stromal interaction 1",2.551e-08,1.026e-05,0.0025,1.8708,1.8708,12.9785,1.133e-08
"87","1416295_a_at","16186","Il2rg","interleukin 2 receptor, gamma chain",2.797e-08,1.087e-05,0.0026,1.9752,1.9752,11.2861,5.803e-08
"88","1455500_at","672511","Rnf213","ring finger protein 213",2.737e-08,1.087e-05,0.0025,1.6408,1.6408,10.9263,8.433e-08
"89","1426906_at","100040462","Mndal","myeloid nuclear differentiation antigen like",2.822e-08,1.087e-05,0.0026,2.1354,2.1354,11.5395,4.487e-08
"90","1436778_at","13058","Cybb","cytochrome b-245, beta polypeptide",2.767e-08,1.087e-05,0.0025,1.5122,1.5122,11.0134,7.696e-08
"91","1421008_at","58185","Rsad2","radical S-adenosyl methionine domain containing 2",2.816e-08,1.087e-05,0.0026,2.5227,2.5227,12.5895,1.622e-08
"92","1417876_at","14129","Fcgr1","Fc receptor, IgG, high affinity I",3.246e-08,1.24e-05,0.0026,1.7352,1.7352,11.8914,3.164e-08
"93","1449858_at","12524","Cd86","CD86 antigen",3.478e-08,1.317e-05,0.0026,1.0609,1.0609,12.9132,1.203e-08
"94","1450234_at","73656","Ms4a6c","membrane-spanning 4-domains, subfamily A, member 6C",3.688e-08,1.374e-05,0.0027,1.3818,1.3818,11.0327,7.542e-08
"95","1417244_a_at","54123","Irf7","interferon regulatory factor 7",3.765e-08,1.391e-05,0.0027,1.7344,1.7344,12.1964,2.353e-08
"96","1449455_at","15162","Hck","hemopoietic cell kinase",5.007e-08,1.82e-05,0.0028,1.2054,1.2054,10.2346,1.781e-07
"97","1456890_at","230073","Rigi","RNA sensor RIG-I",5.427e-08,1.941e-05,0.0028,1.3963,1.3963,12.8408,1.285e-08
"98","1420380_at","20296","Ccl2","C-C motif chemokine ligand 2",5.673e-08,2.013e-05,0.0028,1.6488,1.6488,12.3237,2.084e-08
"99","1426971_at","74153","Uba7","ubiquitin-like modifier activating enzyme 7",6.296e-08,2.216e-05,0.0028,1.0067,1.0067,11.4077,5.126e-08
"100","1424857_a_at","94094","Trim34a","tripartite motif-containing 34A",7.328e-08,2.56e-05,0.0029,1.5267,1.5267,9.9829,2.361e-07
"101","1418131_at","56045","Samhd1","SAM domain and HD domain, 1",7.7e-08,2.669e-05,0.0029,1.1595,1.1595,11.9353,3.03e-08
"102","1417898_a_at","14938","Gzma","granzyme A",8.146e-08,2.781e-05,0.0029,2.1998,2.1998,10.4498,1.405e-07
"103","1416382_at","13032","Ctsc","cathepsin C",8.634e-08,2.925e-05,0.003,1.1178,1.1178,10.7366,1.031e-07
"104","1435529_at","667373","Ifit1bl1","interferon induced protein with tetratricpeptide repeats 1B like 1",8.734e-08,2.937e-05,0.003,1.0741,1.0741,13.8033,5.46e-09
"105","1449049_at","21897","Tlr1","toll-like receptor 1",8.845e-08,2.952e-05,0.003,0.7452,0.7452,9.7577,3.054e-07
"106","1424375_s_at","107526","Gimap4","GTPase, IMAP family member 4",9.471e-08,3.138e-05,0.003,1.456,1.456,10.2094,1.832e-07
"107","1435477_s_at","14130","Fcgr2b","Fc receptor, IgG, low affinity IIb",9.937e-08,3.268e-05,0.003,1.5674,1.5674,10.7175,1.052e-07
"108","1452352_at","13025","Ctla2b","cytotoxic T lymphocyte-associated protein 2 beta",1.021e-07,3.333e-05,0.0031,0.8805,0.8805,8.3964,1.607e-06
"109","1421998_at","30935","Tor3a","torsin family 3, member A",1.073e-07,3.477e-05,0.0031,0.9727,0.9727,10.0034,2.307e-07
"110","1460188_at","15170","Ptpn6","protein tyrosine phosphatase, non-receptor type 6",1.251e-07,4.014e-05,0.0031,0.7815,0.7815,10.7403,1.027e-07
"111","1448436_a_at","16362","Irf1","interferon regulatory factor 1",1.256e-07,4.014e-05,0.0031,0.9935,0.9935,10.0613,2.162e-07
"112","1455332_x_at","14130","Fcgr2b","Fc receptor, IgG, low affinity IIb",1.399e-07,4.438e-05,0.0032,0.7111,0.7111,10.1072,2.053e-07
"113","1419697_at","56066","Cxcl11","chemokine (C-X-C motif) ligand 11",1.532e-07,4.828e-05,0.0032,1.6673,1.6673,11.327,5.565e-08
"114","1451534_at","214189","Scgn","secretagogin, EF-hand calcium binding protein",1.637e-07,5.123e-05,0.0032,-0.5502,-0.5502,-9.2652,5.451e-07
"115","1456250_x_at","21810","Tgfbi","transforming growth factor, beta induced",1.664e-07,5.172e-05,0.0032,1.0779,1.0779,10.0086,2.294e-07
"116","1422005_at","19106","Eif2ak2","eukaryotic translation initiation factor 2-alpha kinase 2",1.72e-07,5.307e-05,0.0032,1.0541,1.0541,10.461,1.388e-07
"117","1421812_at","21356","Tapbp","TAP binding protein",2.152e-07,6.509e-05,0.0033,0.7515,0.7515,9.4831,4.207e-07
"118","1450753_at","72310","Nkg7","natural killer cell group 7 sequence",2.143e-07,6.509e-05,0.0033,1.0951,1.0951,9.7328,3.143e-07
"119","1434372_at","107350","AW112010","expressed sequence AW112010",2.184e-07,6.56e-05,0.0033,1.4407,1.4407,9.4162,4.553e-07
"120","1417821_at","110956","D17H6S56E-5","DNA segment, Chr 17, human D6S56E 5",2.247e-07,6.705e-05,0.0034,0.8017,0.8017,9.7153,3.208e-07
"121","1422476_at","65972","Ifi30","interferon gamma inducible protein 30",2.384e-07,7.066e-05,0.0034,0.7607,0.7607,9.6316,3.535e-07
"122","1435208_at","209200","Dtx3l","deltex 3-like, E3 ubiquitin ligase",2.413e-07,7.107e-05,0.0034,1.4848,1.4848,9.4557,4.345e-07
"123","1417185_at","110454","Ly6a","lymphocyte antigen 6 family member A",2.507e-07,7.287e-05,0.0034,0.8869,0.8869,10.1133,2.039e-07
"124","1418641_at","16822","Lcp2","lymphocyte cytosolic protein 2",2.491e-07,7.287e-05,0.0034,0.5912,0.5912,7.2839,7.258e-06
"125","1436183_at","78781","Zc3hav1","zinc finger CCCH type, antiviral 1",2.594e-07,7.493e-05,0.0035,1.0447,1.0447,9.236,5.646e-07
"126","1438157_s_at","18035","Nfkbia","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",2.642e-07,7.584e-05,0.0035,0.706,0.706,7.4318,5.889e-06
"127","1417793_at","54396","Irgm2","immunity-related GTPase family M member 2",3.103e-07,8.849e-05,0.0035,1.9999,1.9999,8.7641,1.007e-06
"128","1418674_at","18414","Osmr","oncostatin M receptor",3.917e-07,1e-04,0.0036,1.1524,1.1524,8.4991,1.408e-06
"129","1424617_at","70110","Ifi35","interferon-induced protein 35",4.565e-07,1e-04,0.0036,1.2074,1.2074,10.0044,2.305e-07
"130","1448940_at","20821","Trim21","tripartite motif-containing 21",4.624e-07,1e-04,0.0036,1.2514,1.2514,8.92,8.298e-07
"131","1417500_a_at","21817","Tgm2","transglutaminase 2, C polypeptide",4.73e-07,1e-04,0.0036,0.8128,0.8128,8.1766,2.14e-06
"132","1421217_a_at","16859","Lgals9","lectin, galactose binding, soluble 9",4.836e-07,1e-04,0.0036,1.1306,1.1306,7.8787,3.183e-06
"133","1421855_at","14190","Fgl2","fibrinogen-like protein 2",4.998e-07,1e-04,0.0037,1.6374,1.6374,9.8096,2.878e-07
"134","1450484_a_at","22169","Cmpk2","cytidine/uridine monophosphate kinase 2",5.541e-07,2e-04,0.0037,0.794,0.794,7.4007,6.152e-06
"135","1438948_x_at","12257","Tspo","translocator protein",5.865e-07,2e-04,0.0037,0.9232,0.9232,8.1654,2.172e-06
"136","1416041_at","20393","Sgk1","serum/glucocorticoid regulated kinase 1",6.206e-07,2e-04,0.0037,0.9739,0.9739,7.1816,8.4e-06
"137","1419879_s_at","217069","Trim25","tripartite motif-containing 25",6.297e-07,2e-04,0.0038,0.7587,0.7587,7.3911,6.236e-06
"138","1425225_at","246256","Fcgr4","Fc receptor, IgG, low affinity IV",7.095e-07,2e-04,0.0038,1.5659,1.5659,9.2496,5.554e-07
"139","1451969_s_at","235587","Parp3","poly (ADP-ribose) polymerase family, member 3",7.247e-07,2e-04,0.0038,0.7234,0.7234,8.9592,7.907e-07
"140","1415871_at","21810","Tgfbi","transforming growth factor, beta induced",7.271e-07,2e-04,0.0038,0.8607,0.8607,11.1767,6.495e-08
"141","1451755_a_at","11810","Apobec1","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",7.486e-07,2e-04,0.0038,0.6011,0.6011,7.7447,3.818e-06
"142","1454757_s_at","52668","Ifi27","interferon, alpha-inducible protein 27",8.611e-07,2e-04,0.0039,0.6201,0.6201,6.9692,1.143e-05
"143","1451171_at","224008","Spidr","scaffolding protein involved in DNA repair",8.712e-07,2e-04,0.0039,0.7243,0.7243,8.8277,9.304e-07
"144","1451777_at","234311","Ddx60","DExD/H box helicase 60",1.039e-06,3e-04,0.0039,1.4765,1.4765,7.6612,4.281e-06
"145","1449591_at","12363","Casp4","caspase 4, apoptosis-related cysteine peptidase",1.072e-06,3e-04,0.0039,0.6559,0.6559,7.3801,6.333e-06
"146","1455899_x_at","12702","Socs3","suppressor of cytokine signaling 3",1.099e-06,3e-04,0.004,2.0107,2.0107,9.4794,4.225e-07
"147","1433428_x_at","21817","Tgm2","transglutaminase 2, C polypeptide",1.121e-06,3e-04,0.004,0.8397,0.8397,7.7264,3.915e-06
"148","1417346_at","66824","Pycard","PYD and CARD domain containing",1.226e-06,3e-04,0.004,0.7789,0.7789,6.9334,1.204e-05
"149","1454169_a_at","108670","Epsti1","epithelial stromal interaction 1",1.268e-06,3e-04,0.004,0.5997,0.5997,8.3739,1.655e-06
"150","1439114_at","234311","Ddx60","DExD/H box helicase 60",1.448e-06,4e-04,0.004,1.0534,1.0534,7.8829,3.165e-06
"151","1416714_at","15900","Irf8","interferon regulatory factor 8",1.589e-06,4e-04,0.0041,1.1087,1.1087,7.6063,4.618e-06
"152","1449731_s_at","18035","Nfkbia","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",1.602e-06,4e-04,0.0041,0.6056,0.6056,6.132,4.075e-05
"153","1448748_at","56193","Plek","pleckstrin",1.638e-06,4e-04,0.0041,0.5527,0.5527,9.1427,6.319e-07
"154","1418990_at","66607","Ms4a4d","membrane-spanning 4-domains, subfamily A, member 4D",1.652e-06,4e-04,0.0041,0.6485,0.6485,7.8869,3.148e-06
"155","1456251_x_at","12257","Tspo","translocator protein",1.661e-06,4e-04,0.0041,0.9253,0.9253,7.3661,6.459e-06
"156","1451426_at","80861","Dhx58","DExH-box helicase 58",1.703e-06,4e-04,0.0042,0.664,0.664,7.7148,3.978e-06
"157","1437432_a_at","76681","Trim12a","tripartite motif-containing 12A",1.712e-06,4e-04,0.0042,1.1205,1.1205,8.5224,1.367e-06
"158","1427041_at","230787","Themis2","thymocyte selection associated family member 2",1.751e-06,4e-04,0.0042,0.7235,0.7235,8.8665,8.866e-07
"159","1437463_x_at","21810","Tgfbi","transforming growth factor, beta induced",1.773e-06,4e-04,0.0042,0.9233,0.9233,8.3518,1.703e-06
"160","1436576_at","215900","Calhm6","calcium homeostasis modulator family member 6",2.035e-06,5e-04,0.0043,1.7134,1.7134,8.54,1.337e-06
"161","1422903_at","17084","Ly86","lymphocyte antigen 86",2.039e-06,5e-04,0.0043,0.7182,0.7182,6.7217,1.648e-05
"162","1417314_at","14962","Cfb","complement factor B",2.041e-06,5e-04,0.0043,0.5516,0.5516,7.8978,3.102e-06
"163","1443858_at","319236","Trim12c","tripartite motif-containing 12C",2.334e-06,5e-04,0.0044,1.1854,1.1854,7.0841,9.668e-06
"164","1420697_at","65221","Slc15a3","solute carrier family 15, member 3",2.396e-06,5e-04,0.0044,0.9503,0.9503,6.8775,1.308e-05
"165","1448617_at","12508","Cd53","CD53 antigen",2.465e-06,6e-04,0.0044,0.6294,0.6294,7.6178,4.545e-06
"166","1428735_at","12515","Cd69","CD69 antigen",2.53e-06,6e-04,0.0045,1.0778,1.0778,10.0009,2.314e-07
"167","1426221_at","67776","Vwa5a","von Willebrand factor A domain containing 5A",2.587e-06,6e-04,0.0045,0.5287,0.5287,7.5763,4.814e-06
"168","1422006_at","19106","Eif2ak2","eukaryotic translation initiation factor 2-alpha kinase 2",2.704e-06,6e-04,0.0045,0.6388,0.6388,7.9008,3.09e-06
"169","1424067_at","15894","Icam1","intercellular adhesion molecule 1",2.745e-06,6e-04,0.0045,0.9119,0.9119,7.2736,7.364e-06
"170","1421854_at","14190","Fgl2","fibrinogen-like protein 2",2.762e-06,6e-04,0.0045,0.9073,0.9073,9.1319,6.402e-07
"171","1456772_at","17969","Ncf1","neutrophil cytosolic factor 1",2.819e-06,6e-04,0.0046,0.4831,0.4831,5.8836,6.054e-05
"172","1420088_at","18035","Nfkbia","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",2.899e-06,6e-04,0.0046,0.4999,0.4999,6.202,3.651e-05
"173","1451655_at","276950","Slfn8","schlafen 8",3.147e-06,7e-04,0.0047,1.242,1.242,10.7833,9.81e-08
"174","1421186_at","12772","Ccr2","C-C motif chemokine receptor 2",3.185e-06,7e-04,0.0047,0.7302,0.7302,7.5131,5.256e-06
"175","1419100_at","20716","Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N",3.3e-06,7e-04,0.0047,0.6724,0.6724,6.496,2.318e-05
"176","1452117_a_at","23880","Fyb1","FYN binding protein 1",3.478e-06,7e-04,0.0047,0.8488,0.8488,6.385,2.748e-05
"177","1427301_at","12506","Cd48","CD48 antigen",3.703e-06,8e-04,0.0047,0.8566,0.8566,7.2125,8.036e-06
"178","1425974_a_at","217069","Trim25","tripartite motif-containing 25",3.852e-06,8e-04,0.0048,0.8336,0.8336,6.8383,1.385e-05
"179","1444405_at","623121","Ifi213","interferon activated gene 213",4.03e-06,8e-04,0.0048,0.5536,0.5536,8.2891,1.847e-06
"180","1419202_at","13011","Cst7","cystatin F (leukocystatin)",4.079e-06,8e-04,0.0048,0.9496,0.9496,6.6028,1.97e-05
"181","1452956_a_at","52668","Ifi27","interferon, alpha-inducible protein 27",4.249e-06,9e-04,0.0048,0.5101,0.5101,5.5622,1e-04
"182","1418204_s_at","11629","Aif1","allograft inflammatory factor 1",4.332e-06,9e-04,0.0049,0.6485,0.6485,6.3376,2.956e-05
"183","1438858_x_at","14960","H2-Aa","histocompatibility 2, class II antigen A, alpha",4.487e-06,9e-04,0.0049,0.7591,0.7591,5.9336,5.586e-05
"184","1438027_at","236573","Gbp9","guanylate-binding protein 9",4.488e-06,9e-04,0.0049,1.2337,1.2337,6.9399,1.193e-05
"185","1455900_x_at","21817","Tgm2","transglutaminase 2, C polypeptide",4.79e-06,0.001,0.0049,0.9575,0.9575,7.338,6.722e-06
"186","1450641_at","22352","Vim","vimentin",5.301e-06,0.0011,0.0049,0.606,0.606,9.1651,6.15e-07
