"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_140572_coefficient","contrast_140572_log2fc","contrast_140572_tstat","contrast_140572_pvalue","contrast_140573_coefficient","contrast_140573_log2fc","contrast_140573_tstat","contrast_140573_pvalue"
"21",10524621,"23962","Oasl2","2'-5' oligoadenylate synthetase-like 2",3.22e-15,4.087e-12,8e-04,4.6271,4.6271,43.4601,1.377e-14,5.0129,5.0129,47.0842,5.329e-15
"22",10450075,"14972","H2-K1","histocompatibility 2, K1, K region",3.442e-15,4.218e-12,8e-04,4.269,4.269,44.1508,1.132e-14,4.4503,4.4503,46.0258,6.883e-15
"23",10566366,"209387","Trim30d","tripartite motif-containing 30D",4.219e-15,4.686e-12,9e-04,4.014,4.014,45.1971,8.66e-15,3.8564,3.8564,43.422,1.399e-14
"24",10434778,"67775","Rtp4","receptor transporter protein 4",4.219e-15,4.686e-12,9e-04,4.1221,4.1221,42.7731,1.665e-14,4.4217,4.4217,45.8816,7.105e-15
"25",10512067,"230073","Rigi","RNA sensor RIG-I",4.885e-15,5.261e-12,9e-04,3.4732,3.4732,42.5636,1.776e-14,3.6765,3.6765,45.0543,8.882e-15
"26",10502791,"99899","Ifi44","interferon-induced protein 44",5.107e-15,5.338e-12,0.001,5.119,5.119,42.9456,1.577e-14,5.2839,5.2839,44.3287,1.088e-14
"27",10376324,"631323","Gm12250","predicted gene 12250",5.995e-15,5.919e-12,0.001,4.4317,4.4317,39.6803,4.086e-14,5.1429,5.1429,46.0479,6.883e-15
"28",10483110,"71586","Ifih1","interferon induced with helicase C domain 1",6.217e-15,5.972e-12,0.001,3.9259,3.9259,40.3583,3.331e-14,4.4011,4.4011,45.2435,8.438e-15
"29",10542911,"209086","Samd9l","sterile alpha motif domain containing 9-like",9.548e-15,8.701e-12,0.0011,3.8627,3.8627,41.073,2.709e-14,3.9307,3.9307,41.7957,2.198e-14
"30",10524631,"231655","Oasl1","2'-5' oligoadenylate synthetase-like 1",1.199e-14,1.065e-11,0.0011,4.2898,4.2898,41.7637,2.22e-14,4.0557,4.0557,39.4846,4.33e-14
"31",10541307,"24110","Usp18","ubiquitin specific peptidase 18",1.277e-14,1.107e-11,0.0012,4.9398,4.9398,39.0657,4.907e-14,5.2745,5.2745,41.7125,2.243e-14
"32",10484463,"12258","Serping1","serine (or cysteine) peptidase inhibitor, clade G, member 1",1.61e-14,1.259e-11,0.0012,3.2974,3.2974,39.4393,4.396e-14,3.3341,3.3341,39.8785,3.841e-14
"33",10383168,"672511","Rnf213","ring finger protein 213",1.632e-14,1.259e-11,0.0013,3.7645,3.7645,38.2481,6.328e-14,4.027,4.027,40.9143,2.82e-14
"34",10462390,"60533","Cd274","CD274 antigen",1.665e-14,1.259e-11,0.0013,4.6217,4.6217,38.9312,5.129e-14,4.769,4.769,40.1712,3.531e-14
"35",10571984,"234311","Ddx60","DExD/H box helicase 60",1.532e-14,1.259e-11,0.0012,3.8377,3.8377,39.0931,4.863e-14,3.9796,3.9796,40.539,3.153e-14
"36",10569102,"54123","Irf7","interferon regulatory factor 7",1.632e-14,1.259e-11,0.0013,4.8249,4.8249,39.1438,4.796e-14,4.9424,4.9424,40.0973,3.597e-14
"37",10443463,"12575","Cdkn1a","cyclin dependent kinase inhibitor 1A",2.254e-14,1.669e-11,0.0014,3.4716,3.4716,40.4561,3.242e-14,3.1296,3.1296,36.4714,1.115e-13
"38",10346191,"20846","Stat1","signal transducer and activator of transcription 1",2.875e-14,2.086e-11,0.0014,3.0721,3.0721,34.9953,1.825e-13,3.53,3.53,40.211,3.486e-14
"39",10461614,"73656","Ms4a6c","membrane-spanning 4-domains, subfamily A, member 6C",3.109e-14,2.21e-11,0.0014,5.1771,5.1771,39.007,4.996e-14,4.7724,4.7724,35.9575,1.321e-13
"40",10466127,"107350","AW112010","expressed sequence AW112010",3.175e-14,2.213e-11,0.0014,4.2148,4.2148,36.335,1.166e-13,4.4714,4.4714,38.5475,5.773e-14
"41",10415319,"16391","Irf9","interferon regulatory factor 9",4.008e-14,2.739e-11,0.0015,2.5851,2.5851,34.2259,2.378e-13,2.9431,2.9431,38.9654,5.063e-14
"42",10360377,"226691","Ifi207","interferon activated gene 207",4.408e-14,2.901e-11,0.0015,4.7226,4.7226,42.6439,1.732e-14,2.9555,2.9555,26.6877,4.559e-12
"43",10569017,"66141","Ifitm3","interferon induced transmembrane protein 3",4.374e-14,2.901e-11,0.0015,3.7692,3.7692,35.8878,1.352e-13,3.892,3.892,37.0576,9.215e-14
"44",10395039,"22169","Cmpk2","cytidine/uridine monophosphate kinase 2",4.929e-14,3.185e-11,0.0015,2.5511,2.5511,32.0317,5.229e-13,3.1415,3.1415,39.4443,4.374e-14
"45",10531980,"236573","Gbp9","guanylate-binding protein 9",5.929e-14,3.752e-11,0.0016,3.2488,3.2488,34.412,2.229e-13,3.4602,3.4602,36.651,1.052e-13
"46",10439249,"547253","Parp14","poly (ADP-ribose) polymerase family, member 14",6.017e-14,3.752e-11,0.0016,3.8606,3.8606,36.3362,1.166e-13,3.6826,3.6826,34.6612,2.045e-13
"47",10383214,"672511","Rnf213","ring finger protein 213",6.395e-14,3.919e-11,0.0016,3.6558,3.6558,33.5685,2.995e-13,4.0241,4.0241,36.9508,9.548e-14
"48",10383198,"672511","Rnf213","ring finger protein 213",7.416e-14,4.467e-11,0.0017,4.3142,4.3142,34.3509,2.276e-13,4.4508,4.4508,35.4389,1.57e-13
"49",10388902,"16859","Lgals9","lectin, galactose binding, soluble 9",7.55e-14,4.472e-11,0.0017,3.1708,3.1708,32.9525,3.733e-13,3.5183,3.5183,36.564,1.081e-13
"50",10531420,"56066","Cxcl11","chemokine (C-X-C motif) ligand 11",8.76e-14,5.104e-11,0.0017,4.2491,4.2491,33.7507,2.809e-13,4.4146,4.4146,35.0657,1.781e-13
"51",10382846,"193217","BC018473","cDNA sequence BC018473",9.126e-14,5.231e-11,0.0017,0.4555,0.4555,5.7378,9.284e-05,3.2668,3.2668,41.1522,2.642e-14
"52",10475414,"12010","B2m","beta-2 microglobulin",9.448e-14,5.33e-11,0.0018,2.2935,2.2935,33.4221,3.155e-13,2.3984,2.3984,34.9513,1.852e-13
"53",10581813,"74568","Mlkl","mixed lineage kinase domain-like",1.035e-13,5.67e-11,0.0018,3.7551,3.7551,34.6227,2.072e-13,3.605,3.605,33.2389,3.368e-13
"54",10383202,"672511","Rnf213","ring finger protein 213",1.037e-13,5.67e-11,0.0018,3.9727,3.9727,31.7808,5.742e-13,4.4815,4.4815,35.8507,1.368e-13
"55",10531987,"17472","Gbp4","guanylate binding protein 4",1.087e-13,5.765e-11,0.0019,5.2095,5.2095,34.1443,2.447e-13,5.1045,5.1045,33.4564,3.118e-13
"56",10531972,"76074","Gbp8","guanylate-binding protein 8",1.165e-13,6.087e-11,0.0019,3.9703,3.9703,30.6136,8.957e-13,4.688,4.688,36.1476,1.241e-13
"57",10512470,"12517","Cd72","CD72 antigen",1.31e-13,6.685e-11,0.0019,3.8735,3.8735,36.2632,1.195e-13,3.1652,3.1652,29.6325,1.319e-12
"58",10574149,"434341","Nlrc5","NLR family, CARD domain containing 5",1.317e-13,6.685e-11,0.002,3.8306,3.8306,29.1428,1.607e-12,4.8052,4.8052,36.5575,1.084e-13
"59",10405211,"23882","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma",1.524e-13,7.63e-11,0.002,3.7474,3.7474,39.8252,3.908e-14,1.7625,1.7625,18.7312,2.922e-10
"60",10582997,"12363","Casp4","caspase 4, apoptosis-related cysteine peptidase",1.581e-13,7.804e-11,0.002,3.5163,3.5163,33.465,3.106e-13,3.3646,3.3646,32.0217,5.249e-13
"61",10391207,"80861","Dhx58","DExH-box helicase 58",1.643e-13,8e-11,0.0021,3.379,3.379,31.6616,6.004e-13,3.5844,3.5844,33.5864,2.975e-13
"62",10597758,"215418","Csrnp1","cysteine-serine-rich nuclear protein 1",1.776e-13,8.418e-11,0.0021,2.891,2.891,36.4847,1.11e-13,2.1389,2.1389,26.9931,3.985e-12
"63",10383208,"672511","Rnf213","ring finger protein 213",1.759e-13,8.418e-11,0.0021,3.5789,3.5789,32.4074,4.552e-13,3.5924,3.5924,32.5296,4.354e-13
"64",10537227,"68487","Tmem140","transmembrane protein 140",2.116e-13,9.787e-11,0.0021,2.9889,2.9889,31.3144,6.846e-13,3.1113,3.1113,32.5964,4.248e-13
"65",10383206,"672511","Rnf213","ring finger protein 213",2.121e-13,9.787e-11,0.0022,4.242,4.242,31.5892,6.171e-13,4.3411,4.3411,32.3271,4.69e-13
"66",10437224,"17858","Mx2","MX dynamin-like GTPase 2",2.555e-13,1.164e-10,0.0022,4.4541,4.4541,29.2337,1.549e-12,5.0921,5.0921,33.4208,3.157e-13
"67",10379511,"20296","Ccl2","C-C motif chemokine ligand 2",2.759e-13,1.241e-10,0.0022,5.3479,5.3479,31.9739,5.342e-13,5.1048,5.1048,30.5207,9.288e-13
"68",10364950,"17873","Gadd45b","growth arrest and DNA-damage-inducible 45 beta",3.03e-13,1.346e-10,0.0023,3.0949,3.0949,33.9751,2.596e-13,2.4917,2.4917,27.3535,3.406e-12
"69",10400095,"15982","Ifrd1","interferon-related developmental regulator 1",3.255e-13,1.428e-10,0.0023,2.0086,2.0086,34.4319,2.214e-13,1.5225,1.5225,26.0988,5.937e-12
"70",10405587,"21810","Tgfbi","transforming growth factor, beta induced",3.342e-13,1.448e-10,0.0023,3.8245,3.8245,34.0449,2.534e-13,2.9851,2.9851,26.573,4.798e-12
"71",10391301,"20848","Stat3","signal transducer and activator of transcription 3",3.424e-13,1.466e-10,0.0023,1.7569,1.7569,30.4372,9.595e-13,1.7873,1.7873,30.9645,7.823e-13
"72",10383212,"672511","Rnf213","ring finger protein 213",3.646e-13,1.524e-10,0.0024,3.7125,3.7125,29.3364,1.486e-12,4.0064,4.0064,31.6584,6.013e-13
"73",10383152,"672511","Rnf213","ring finger protein 213",4.682e-13,1.891e-10,0.0025,3.7303,3.7303,29.1929,1.575e-12,3.9087,3.9087,30.589,9.044e-13
"74",10583008,"12364","Casp12","caspase 12",5.113e-13,2.042e-10,0.0025,2.4223,2.4223,29.6466,1.311e-12,2.4289,2.4289,29.728,1.269e-12
"75",10435457,"80285","Parp9","poly (ADP-ribose) polymerase family, member 9",5.745e-13,2.269e-10,0.0025,2.9569,2.9569,28.1125,2.463e-12,3.2165,3.2165,30.5799,9.075e-13
"76",10383192,"672511","Rnf213","ring finger protein 213",5.812e-13,2.27e-10,0.0026,3.1913,3.1913,30.2765,1.022e-12,2.9938,2.9938,28.4025,2.181e-12
"77",10473809,"20375","Spi1","spleen focus forming virus (SFFV) proviral integration oncogene",5.997e-13,2.313e-10,0.0026,2.3575,2.3575,35.1679,1.721e-13,1.234,1.234,18.4076,3.58e-10
"78",10474972,"69065","Chac1","ChaC, cation transport regulator 1",6.052e-13,2.313e-10,0.0026,2.9195,2.9195,32.0928,5.114e-13,2.3432,2.3432,25.7577,6.936e-12
"79",10531407,"17329","Cxcl9","C-X-C motif chemokine ligand 9",7.2e-13,2.722e-10,0.0026,4.5027,4.5027,29.7768,1.245e-12,4.2115,4.2115,27.8511,2.751e-12
"80",10494428,"56338","Txnip","thioredoxin interacting protein",7.716e-13,2.887e-10,0.0027,2.9045,2.9045,32.3932,4.576e-13,2.1161,2.1161,23.6,1.948e-11
"81",10548345,"27007","Klrk1","killer cell lectin-like receptor subfamily K, member 1",8.57e-13,3.173e-10,0.0027,2.1868,2.1868,29.8249,1.221e-12,1.9706,1.9706,26.8759,4.196e-12
"82",10383200,"672511","Rnf213","ring finger protein 213",9.424e-13,3.453e-10,0.0027,3.8357,3.8357,27.9367,2.653e-12,3.9076,3.9076,28.4602,2.129e-12
"83",10403352,"23849","Klf6","Kruppel-like transcription factor 6",9.847e-13,3.571e-10,0.0028,2.1162,2.1162,33.1326,3.499e-13,1.2651,1.2651,19.8079,1.522e-10
"84",10479411,"72075","Ogfr","opioid growth factor receptor",1.125e-12,4.039e-10,0.0028,1.5872,1.5872,29.1769,1.585e-12,1.4271,1.4271,26.2346,5.584e-12
"85",10514466,"16476","Jun","jun proto-oncogene",1.324e-12,4.704e-10,0.0028,2.5671,2.5671,30.4315,9.617e-13,1.9822,1.9822,23.4976,2.05e-11
"86",10465772,"17254","Slc3a2","solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",1.494e-12,5.258e-10,0.0028,1.6131,1.6131,29.3134,1.499e-12,1.3493,1.3493,24.5192,1.241e-11
"87",10378068,"327959","Xaf1","XIAP associated factor 1",1.7e-12,5.865e-10,0.0029,3.2125,3.2125,25.2239,8.884e-12,3.601,3.601,28.2747,2.3e-12
"88",10566144,"20821","Trim21","tripartite motif-containing 21",1.925e-12,6.577e-10,0.0029,2.5695,2.5695,26.3862,5.216e-12,2.6026,2.6026,26.7261,4.482e-12
"89",10574102,"434341","Nlrc5","NLR family, CARD domain containing 5",2.062e-12,6.981e-10,0.003,3.4495,3.4495,26.8778,4.192e-12,3.3254,3.3254,25.9109,6.466e-12
"90",10450325,"14962","Cfb","complement factor B",2.196e-12,7.364e-10,0.003,3.6205,3.6205,24.9829,9.95e-12,3.9752,3.9752,27.4305,3.294e-12
"91",10444258,"16913","Psmb8","proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",2.469e-12,8.125e-10,0.003,3.5742,3.5742,24.4384,1.291e-11,4.0081,4.0081,27.4049,3.331e-12
"92",10533304,"231712","Trafd1","TRAF type zinc finger domain containing 1",2.766e-12,8.936e-10,0.0031,1.5823,1.5823,22.2795,3.836e-11,2.023,2.023,28.4853,2.107e-12
"93",10367224,"20847","Stat2","signal transducer and activator of transcription 2",2.97e-12,9.51e-10,0.0031,2.1089,2.1089,23.0439,2.579e-11,2.5381,2.5381,27.7341,2.892e-12
"94",10494306,"17210","Mcl1","myeloid cell leukemia sequence 1",3.113e-12,9.877e-10,0.0032,1.3737,1.3737,25.7548,6.945e-12,1.3467,1.3467,25.248,8.783e-12
"95",10393573,"19039","Lgals3bp","lectin, galactoside-binding, soluble, 3 binding protein",3.37e-12,1.06e-09,0.0032,3.5891,3.5891,25.1407,9.237e-12,3.644,3.644,25.5247,7.722e-12
"96",10554240,"57444","Isg20","interferon-stimulated protein",3.595e-12,1.111e-09,0.0032,3.4353,3.4353,26.0109,6.178e-12,3.2127,3.2127,24.3252,1.363e-11
"97",10416837,"16365","Acod1","aconitate decarboxylase 1",3.573e-12,1.111e-09,0.0032,3.7966,3.7966,25.9285,6.415e-12,3.5796,3.5796,24.4464,1.286e-11
"98",10517336,"29876","Clic4","chloride intracellular channel 4",3.638e-12,1.115e-09,0.0033,1.4725,1.4725,24.8534,1.058e-11,1.5097,1.5097,25.4811,7.88e-12
"99",10389134,"237886","Slfn9","schlafen 9",3.792e-12,1.152e-09,0.0033,2.9071,2.9071,26.2113,5.642e-12,2.6446,2.6446,23.8438,1.726e-11
"100",10545130,"13197","Gadd45a","growth arrest and DNA-damage-inducible 45 alpha",3.83e-12,1.154e-09,0.0033,1.2692,1.2692,23.7397,1.817e-11,1.4038,1.4038,26.2577,5.526e-12
"101",10379636,"20558","Slfn4","schlafen 4",3.875e-12,1.157e-09,0.0033,4.8257,4.8257,22.9341,2.729e-11,5.6468,5.6468,26.8365,4.269e-12
"102",10489204,"21817","Tgm2","transglutaminase 2, C polypeptide",4.049e-12,1.199e-09,0.0034,3.5655,3.5655,25.9214,6.436e-12,3.2855,3.2855,23.8859,1.69e-11
"103",10420483,"219131","Phf11a","PHD finger protein 11A",4.103e-12,1.205e-09,0.0034,3.6442,3.6442,24.4066,1.311e-11,3.7937,3.7937,25.408,8.152e-12
"104",10383194,"672511","Rnf213","ring finger protein 213",4.186e-12,1.215e-09,0.0034,2.9135,2.9135,21.8372,4.855e-11,3.6434,3.6434,27.3082,3.473e-12
"105",10383233,"672511","Rnf213","ring finger protein 213",4.206e-12,1.215e-09,0.0035,3.4231,3.4231,23.596,1.952e-11,3.7742,3.7742,26.0161,6.164e-12
"106",10379630,"20556","Slfn2","schlafen 2",4.479e-12,1.276e-09,0.0035,2.8692,2.8692,20.7454,8.861e-11,3.8347,3.8347,27.7267,2.901e-12
"107",10452257,"66972","Slc25a23","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23",4.637e-12,1.291e-09,0.0035,-1.482,-1.482,-29.3516,1.477e-12,-0.8333,-0.8333,-16.5031,1.27e-09
"108",10428302,"21847","Klf10","Kruppel-like transcription factor 10",4.872e-12,1.334e-09,0.0036,2.1442,2.1442,29.9642,1.156e-12,0.5379,0.5379,7.5168,7.006e-06
"109",10444068,"21356","Tapbp","TAP binding protein",4.878e-12,1.334e-09,0.0037,2.5604,2.5604,23.2161,2.363e-11,2.8415,2.8415,25.7646,6.914e-12
"110",10602261,"15560","Htr2c","5-hydroxytryptamine (serotonin) receptor 2C",4.931e-12,1.338e-09,0.0037,-1.4859,-1.4859,-27.5507,3.128e-12,-1.1051,-1.1051,-20.491,1.024e-10
"111",10379034,"68385","Tlcd1","TLC domain containing 1",4.99e-12,1.344e-09,0.0037,-1.5888,-1.5888,-24.7201,1.127e-11,-1.5615,-1.5615,-24.2949,1.383e-11
"112",10508115,"74178","Stk40","serine/threonine kinase 40",5.033e-12,1.345e-09,0.0037,2.3909,2.3909,28.4785,2.113e-12,1.5426,1.5426,18.3741,3.656e-10
"113",10426397,"12805","Cntn1","contactin 1",5.268e-12,1.397e-09,0.0038,-1.5812,-1.5812,-28.9218,1.759e-12,-0.9142,-0.9142,-16.7216,1.091e-09
"114",10541895,"21937","Tnfrsf1a","tumor necrosis factor receptor superfamily, member 1a",5.603e-12,1.475e-09,0.0038,1.564,1.564,23.5636,1.984e-11,1.6553,1.6553,24.9397,1.015e-11
"115",10466210,"68774","Ms4a6d","membrane-spanning 4-domains, subfamily A, member 6D",5.645e-12,1.475e-09,0.0038,4.5732,4.5732,26.091,5.958e-12,3.8719,3.8719,22.0898,4.241e-11
"116",10383204,"672511","Rnf213","ring finger protein 213",5.726e-12,1.485e-09,0.0039,3.576,3.576,23.6686,1.882e-11,3.741,3.741,24.7608,1.106e-11
"117",10400405,"18035","Nfkbia","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",5.818e-12,1.498e-09,0.0039,2.381,2.381,24.2715,1.399e-11,2.3658,2.3658,24.1166,1.509e-11
"118",10579532,"69550","Bst2","bone marrow stromal cell antigen 2",6.007e-12,1.536e-09,0.0039,2.6589,2.6589,19.6732,1.649e-10,3.6963,3.6963,27.3487,3.413e-12
"119",10427471,"18414","Osmr","oncostatin M receptor",6.1e-12,1.549e-09,0.0039,2.9566,2.9566,24.6038,1.192e-11,2.8323,2.8323,23.5697,1.977e-11
"120",10383756,"80876","Ifitm2","interferon induced transmembrane protein 2",6.218e-12,1.567e-09,0.004,2.009,2.009,25.2429,8.805e-12,1.8102,1.8102,22.745,3.008e-11
"121",10543017,"27273","Pdk4","pyruvate dehydrogenase kinase, isoenzyme 4",6.467e-12,1.619e-09,0.004,1.9776,1.9776,28.2934,2.282e-12,1.1781,1.1781,16.8554,9.948e-10
"122",10361091,"11910","Atf3","activating transcription factor 3",6.589e-12,1.637e-09,0.004,4.077,4.077,26.9892,3.992e-12,2.9916,2.9916,19.8038,1.526e-10
"123",10516932,"230784","Sesn2","sestrin 2",7.129e-12,1.746e-09,0.0041,2.164,2.164,25.2814,8.647e-12,1.8888,1.8888,22.0671,4.293e-11
"124",10503334,"14579","Gem","GTP binding protein overexpressed in skeletal muscle",7.173e-12,1.746e-09,0.0041,2.4483,2.4483,25.6492,7.291e-12,2.0556,2.0556,21.5352,5.717e-11
"125",10452815,"22436","Xdh","xanthine dehydrogenase",7.164e-12,1.746e-09,0.0041,3.3219,3.3219,25.3094,8.535e-12,2.8884,2.8884,22.0068,4.433e-11
"126",10369615,"19073","Srgn","serglycin",7.249e-12,1.753e-09,0.0041,2.9327,2.9327,24.5746,1.209e-11,2.7284,2.7284,22.8628,2.83e-11
"127",10439268,"209200","Dtx3l","deltex 3-like, E3 ubiquitin ligase",7.369e-12,1.77e-09,0.0042,2.94,2.94,23.825,1.742e-11,2.9131,2.9131,23.6075,1.94e-11
"128",10553537,"233271","Luzp2","leucine zipper protein 2",7.614e-12,1.816e-09,0.0042,-1.1838,-1.1838,-22.8609,2.833e-11,-1.2631,-1.2631,-24.3922,1.32e-11
"129",10569458,"27267","Cars1","cysteinyl-tRNA synthetase 1",7.68e-12,1.82e-09,0.0042,1.8802,1.8802,25.8842,6.546e-12,1.514,1.514,20.8432,8.386e-11
"130",10389231,"20302","Ccl3","C-C motif chemokine ligand 3",8.17e-12,1.923e-09,0.0042,4.5857,4.5857,21.3918,6.184e-11,5.4243,5.4243,25.3039,8.557e-12
"131",10504450,"384009","Glipr2","GLI pathogenesis-related 2",8.241e-12,1.927e-09,0.0043,1.9848,1.9848,20.9434,7.927e-11,2.4245,2.4245,25.5837,7.514e-12
"132",10523647,"17355","Aff1","AF4/FMR2 family, member 1",8.419e-12,1.956e-09,0.0043,1.7239,1.7239,28.3699,2.21e-12,0.8315,0.8315,13.6846,1.084e-08
"133",10459066,"225594","Gm4841","predicted gene 4841",8.867e-12,2.033e-09,0.0044,2.6244,2.6244,25.2788,8.658e-12,2.1834,2.1834,21.0314,7.547e-11
"134",10383210,"672511","Rnf213","ring finger protein 213",8.867e-12,2.033e-09,0.0043,3.0179,3.0179,21.2941,6.525e-11,3.5565,3.5565,25.0941,9.441e-12
"135",10385159,"104458","Rars1","arginyl-tRNA synthetase 1",8.987e-12,2.034e-09,0.0044,1.2827,1.2827,26.4478,5.073e-12,0.9209,0.9209,18.9889,2.492e-10
"136",10378964,"20370","Sez6","seizure related gene 6",8.972e-12,2.034e-09,0.0044,-1.2807,-1.2807,-27.445,3.274e-12,-0.7759,-0.7759,-16.6268,1.165e-09
"137",10489107,"56045","Samhd1","SAM domain and HD domain, 1",9.402e-12,2.115e-09,0.0044,2.9486,2.9486,22.4228,3.557e-11,3.1549,3.1549,23.9918,1.604e-11
"138",10440993,"54720","Rcan1","regulator of calcineurin 1",9.718e-12,2.159e-09,0.0045,1.5986,1.5986,26.1737,5.739e-12,1.1641,1.1641,19.0592,2.387e-10
"139",10351825,"21346","Tagln2","transgelin 2",9.889e-12,2.183e-09,0.0045,1.623,1.623,24.2276,1.429e-11,1.4689,1.4689,21.9281,4.624e-11
"140",10357300,"269109","Dpp10","dipeptidylpeptidase 10",1.051e-11,2.292e-09,0.0046,-1.6773,-1.6773,-26.4659,5.033e-12,-1.1389,-1.1389,-17.9713,4.731e-10
"141",10420308,"14939","Gzmb","granzyme B",1.073e-11,2.326e-09,0.0046,4.6754,4.6754,23.0594,2.559e-11,4.6413,4.6413,22.8915,2.789e-11
"142",10597279,"54199","Ccrl2","C-C motif chemokine receptor-like 2",1.087e-11,2.341e-09,0.0046,2.8015,2.8015,23.5034,2.044e-11,2.6665,2.6665,22.3703,3.657e-11
"143",10563597,"20210","Saa3","serum amyloid A 3",1.211e-11,2.562e-09,0.0047,5.001,5.001,22.0703,4.286e-11,5.2972,5.2972,23.3776,2.178e-11
"144",10490818,"20257","Stmn2","stathmin-like 2",1.211e-11,2.562e-09,0.0047,-1.3429,-1.3429,-27.4674,3.242e-12,-0.6609,-0.6609,-13.5189,1.245e-08
"145",10375145,"16822","Lcp2","lymphocyte cytosolic protein 2",1.267e-11,2.665e-09,0.0048,1.5079,1.5079,20.9259,8.006e-11,1.7406,1.7406,24.1544,1.481e-11
"146",10425808,"12257","Tspo","translocator protein",1.296e-11,2.71e-09,0.0048,2.5899,2.5899,21.3491,6.33e-11,2.8808,2.8808,23.7473,1.81e-11
"147",10385504,"432555","Gm5431","predicted gene 5431",1.42e-11,2.95e-09,0.0048,2.8536,2.8536,22.2124,3.974e-11,2.9112,2.9112,22.6614,3.141e-11
